Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,returned,return_prob
a,road,5,2,261,8,medium,f,1,3308,1,0,0.7238797358124008
b,road,6,2,153,5,low,f,1,4597,1,0,0.7344576528434203
b,ship,2,1,274,10,high,f,1,5622,0,1,0.7119546014985275
a,ship,3,3,213,10,medium,m,2,4847,0,1,0.735669548055717
f,ship,6,2,204,4,medium,f,2,4431,0,1,0.7048917392770302
c,ship,3,4,205,8,medium,m,1,4977,1,0,0.7126524151224287
f,ship,4,4,256,3,medium,m,1,5784,1,0,0.7250188433373711
d,ship,5,4,273,3,medium,f,2,5672,1,0,0.7271786754625276
a,road,5,5,232,4,low,m,3,5447,0,1,0.7019771688258635
b,road,5,3,194,4,low,f,2,5396,0,1,0.7121891098935663
a,ship,5,2,260,4,medium,f,3,5890,0,1,0.7408026914427909
c,ship,5,2,260,3,low,m,1,4799,1,0,0.7080642519928342
a,ship,5,4,152,3,low,m,1,5314,1,0,0.7127420476790474
d,ship,5,3,181,4,low,f,2,5332,0,1,0.7151625506123578
f,flight,5,1,279,8,low,f,6,5888,1,0,0.7437473141549259
d,ship,4,3,185,10,high,m,1,4973,0,1,0.7133545969108049
f,ship,5,2,279,8,low,m,5,4785,0,1,0.7093552471524471
d,ship,3,4,245,10,medium,m,1,5363,0,1,0.7779336231694751
f,ship,5,5,152,6,medium,m,2,4915,1,0,0.7044229934393401
f,ship,6,3,166,3,low,f,2,5559,0,1,0.7344516425284077
c,road,4,2,273,5,low,f,1,5012,0,1,0.7259069587426573
f,flight,5,1,211,2,medium,m,1,5913,1,0,0.7469430623463191
a,ship,5,1,197,4,low,f,2,5594,1,0,0.7444538606804892
f,ship,5,1,206,5,medium,m,2,5766,0,1,0.7618892348558245
d,ship,5,5,273,4,low,m,1,5225,1,0,0.7417482428341697
f,ship,4,5,188,5,low,f,1,5999,1,0,0.7487491002658969
d,ship,6,4,237,5,medium,f,2,5437,1,0,0.7630481114199765
a,ship,4,4,257,10,medium,m,4,4710,0,1,0.7151737295194835
f,ship,3,3,268,10,medium,m,2,5626,1,0,0.7786933479761808
d,ship,4,1,180,3,low,f,1,5677,0,1,0.722935163040893
a,ship,5,4,156,4,low,m,1,5533,1,0,0.7391847021887588
b,ship,5,2,189,3,low,f,1,5965,0,1,0.7496395803516349
d,road,4,3,257,10,medium,f,3,5881,1,0,0.7908123166455873
b,road,5,5,184,3,low,f,2,5800,0,1,0.7031978929392774
f,road,3,3,154,10,medium,f,1,5235,1,0,0.7603827543855373
a,road,4,2,245,2,low,m,1,5978,0,1,0.7346592671441797
f,flight,4,4,213,4,low,m,2,5857,1,0,0.7145939971861806
d,ship,6,2,218,6,medium,m,1,4558,1,0,0.7648391076559687
f,ship,6,1,251,4,low,m,2,5656,0,1,0.7796437880421354
f,ship,3,5,271,4,medium,m,1,5852,1,0,0.7147376144203317
d,road,3,2,269,4,medium,m,1,5797,0,1,0.7281429670715256
d,road,4,2,237,3,low,m,1,5114,0,1,0.7033836556574307
f,road,6,1,247,3,low,m,1,4637,1,0,0.7416419178833847
d,flight,5,1,160,5,low,f,1,4672,0,1,0.7261245276534716
f,ship,5,2,229,3,low,m,1,5189,1,0,0.7318111852780841
f,ship,5,1,248,8,low,f,2,4023,1,0,0.738688758132392
